Item,Occurences,Present In
DAZAP2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
DBN1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
DDIT4L,5,GSE38265; GSE164425; GSE113253; GSE252276; GSE139273
DDR1,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
DEK,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
DGKI,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
DIAPH3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
DICER1-AS1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
DMTF1,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
DNMBP,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
DNMT3B,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
DOCK10,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
DOCK5,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
DUSP1,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
DYNLL1,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
DYRK3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
EFNA5,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
EFR3A,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
EHHADH,5,GSE239446; GSE164425; GSE113253; GSE252276; GSE139273
EIF3B,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
EIF3J,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
ELL2,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
ELOVL7,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
EMC2,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
EMC8,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ENPP2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
EOGT,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
EPAS1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
EPB41L2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
EPB41L3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ERBB3,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE139273
ERC1,5,GSE38265; GSE69626; GSE164425; GSE252276; GSE139273
ERF,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
ERGIC1,5,GSE38265; GSE239446; GSE164425; GSE113253; GSE252276
ERV3-1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
EVC,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
EVC2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
EXPH5,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE139273
EXTL2,5,GSE38265; GSE69626; GSE113253; GSE252276; GSE139273
F2RL1,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE113253
FADD,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FAM111A,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FAM118B,5,GSE38265; GSE69626; GSE239446; GSE164425; GSE252276
FAM184A,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FAM222B,5,GSE38265; GSE69626; GSE239446; GSE113253; GSE139273
FANCD2,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FASN,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
FBN1,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FBXL19,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
FBXL3,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
FBXO30,5,GSE69626; GSE239446; GSE164425; GSE252276; GSE139273
FGF2,5,GSE38265; GSE239446; GSE113253; GSE252276; GSE139273
FGF5,5,GSE38265; GSE69626; GSE239446; GSE252276; GSE139273
FLNB,5,GSE38265; GSE239446; GSE164425; GSE252276; GSE139273
