Gene	BJ(Fibroblast)	BJ-OKS-iM#2	BJ-OKS-iM#21	BJ-OKS-iG#2	BJ-OKS-iG#5	HUES9
FLJ16779	0	7.333333333	7	2.071428571	2	4
FLJ20021	6.194444444	3	0	3	0	0
FLJ22184	0	1	4	0	2	7
FLJ22536	18.5	9.083333333	13.33333333	13	6.5	8.333333333
FLJ22763	3	4.125	1.708333333	2	0.125	4.875
FLJ23152	0	0	1	0	1	1
FLJ23867	9	0	2	0	0	0
FLJ25328	50.8594935	29.00770424	26.66050665	20.59040204	11.31217493	25.43825971
FLJ25363	5.128898368	4.362154512	5.590641711	2.63803312	0.921079329	7.460570817
FLJ25758	0	0	0	0	0	0
FLJ26245	0	0	0	0	0	0
FLJ26484	0	1	0	0	0.25	0.333333334
FLJ26850	1.290726817	0.416666666	0.444444444	0.083333333	0	0.414285714
FLJ27354	0	0	0	0	1	0
FLJ30403	8.872901995	3.906823249	3.045342523	6.881802756	4.802777778	1.635110211
FLJ30679	11.82106782	11.79482739	8.78136447	17.96362059	8.364718615	8.014953102
FLJ30838	21.67948912	18.85086596	21.88980093	20.62867359	16.48220598	21.1012653
FLJ31306	31.36261184	29.3543956	25.53956044	11.33939394	12.29365079	12.56709957
FLJ31485	0	0.333333333	0	0	0	0
FLJ31662	5.083333333	2.833333333	5.083333333	4.083333333	4	6.458333333
FLJ32063	3.931767119	2.151806508	2.758421682	1.568641504	0.207908902	2.547544525
FLJ32224	4	4.038461538	1.126984127	5	0	4
FLJ33065	5	0.111111111	1.5	1	1	1
FLJ33360	0	0	0	0.111111111	0.5	1.340909091
FLJ33630	51.53859617	14.54669924	22.2594385	12.22633486	10.86149136	11.89892323
FLJ34208	4.083333333	5.25	2.333333333	5	4.198412698	7
FLJ34503	0	0	0	0	0	0
FLJ34690	5.673484848	2.966666667	1.666666667	0.222222222	0.086956522	1.181818182
FLJ35024	15.88695176	13.77406328	11.49626741	6.470580097	7.971158813	15.89022081
FLJ35220	40.29956617	27.17255822	20.51831861	12.70846561	12.16335368	10.53570592
FLJ35390	76.08705954	35.91331088	46.2378353	36.10190827	27.14345752	36.38699212
FLJ35776	32.17335377	13.55181309	12.78284547	11.36787749	3.445895269	10.51934098
FLJ35946	577.4301044	218.0961251	249.75	172.9142857	204.6071429	224.5179894
FLJ36000	0	0.058823529	0	0	0	0
FLJ36031	128	36	17	21	12	27
FLJ36644	0.117647059	3	0.058823529	0	0	0
FLJ36777	18.09090909	2.233333334	4.114379085	2.058823529	0	2.14973262
FLJ37035	0	0	0	0	0	0
FLJ37201	0	12	5	2	0	2
FLJ37453	18.66829004	10.91904762	15.04286824	5.144480519	7.170177045	17.076874
FLJ37505	0	0	0	0	0	0
FLJ37543	0.25	0	0	0	0	0.173611111
FLJ39051	3	9	3	2	0	0
FLJ39080	0	0.25	0	0.125	0	0.111111111
FLJ39534	0	1.071428571	0	0	1	0
FLJ39582	27.49122209	15.57258381	15.80695767	12.64240957	8.641143209	10.97520968
FLJ39609	5	0	0	0	0	0
FLJ39639	2	0	0	0.111111111	0.2	0
FLJ39653	0	0	1	0.5	0	0
FLJ39739	0.458333334	0.527777778	0.375	0.658333334	0.25	0.583333334
FLJ40194	0.375	0	0.333333333	0.166666667	0	0.166666667
FLJ40292	0	0	0	0	0	0
FLJ40330	76.92335203	37.96191936	47.84841513	29.58250998	24.75191834	27.46608561
FLJ40434	0	0	0	0	0	0
FLJ40504	43.99999999	75.66666667	72.66666667	54	45.45833333	43.33333333
FLJ40852	0	0	0	0	0	0
FLJ41200	2.923051948	7.724603175	4.388611389	3.280627706	2.538899989	3.735750361
FLJ41278	0.5	0	0	0	0	0
FLJ41350	0	0	0	0	0	0
FLJ41941	0.166666667	0.166666667	0.333333333	0	0	0
FLJ42289	5.71482684	6.769047619	10.48333333	2.248484848	3.076190476	3.8
FLJ42351	4	1	1	2	0	1
FLJ42392	0	0	0	0	0	0
FLJ42393	4.247420635	58.12198716	51.2606583	24.8524833	25.00224188	22.575333
FLJ42627	61.48085141	46.63657471	28.09398849	30.58563599	18.33150544	26.62783916
FLJ42709	63.22344157	3.130835908	6.936159719	3.287497523	2.448788835	2.641542179
FLJ42875	34.90882352	12.73964775	13.67301063	11.79216406	10.05313843	14.22915491
FLJ42969	0	0	0	0	0	0
FLJ43315	0.5	0	0	0.428571429	0	0
FLJ43390	1.666666667	0.566666667	1.566666667	0.666666667	0.7	0.5
FLJ43663	28.33333334	2.833333334	2.666666666	3.166666666	2.5	3.833333334
FLJ43681	67.36656954	57.917785	69.77493895	48.78014387	29.41179654	41.41161616
FLJ43826	0	1	0	1.5	0.166666667	4.25
FLJ43860	0	0	0	0	0	0
FLJ43879	0.142857143	0	0	0	0	0
FLJ44054	0	0	0	0	0	0
FLJ44511	5.013431014	1.754700854	2.816666666	1.753968254	1.608333334	4.031385281
FLJ44606	1148.170246	338.0996226	307.8600125	155.5719134	219.4232701	258.34981
FLJ44635	2241.5	854	897.25	803.6111111	401.5	539.25
FLJ45079	11642.98204	5301.541503	6080.655844	4633.247931	3463.312457	1588.758763
FLJ45244	42.34003625	40.95165229	42.51646459	26.74100632	25.4923102	37.60894357
FLJ45340	40.31128855	37.32041578	36.47173628	40.96738342	19.03534334	31.27450902
FLJ45445	0.55	0.43452381	0.5	0.375	0.125	0.5
FLJ45983	0	0	0	0	0	0
FLJ46111	28.95833333	150.1666667	198.75	89	68.14285714	60.5
FLJ46257	0	0	0	0	0	0
FLJ46361	9.750528535	5.883655642	5.313831022	4.9563157	1.351190476	6.997023238
FLJ46446	0	0	0.5	0	0	0
FLJ46906	30.57619048	22.7	21.14285714	19.66666667	7.166666667	15.01904762
FLJ90757	104.7305885	42.23849284	49.17826697	40.1791443	26.87874209	36.60972991
FLNA	10669.00528	2964.603783	2345.170349	2127.373041	1190.17202	1932.393661
FLNB	390	491.6666667	549	427	273	337
FLNC	94.75238096	48.03333333	34.48717949	19.38181818	10.4	6.376068376
FLOT1	3676	1106	1041	897	550	1057
FLOT2	3677.941589	2285.774792	2357.301674	1848.288271	1184.795972	1918.109663
FLRT1	0	0	0	0	0	0
FLRT2	175.0909091	6	12	4	5	4
FLRT3	6	3	1	0	1	4
FLT1	150.2406829	99.33336656	79.46385636	94.31921988	52.27605105	71.67516044
FLT3	0	0	1	0	0	1
FLT3LG	202.3326377	56.5625	40.00025063	35.17186148	28.16865079	42.97882206
FLT4	18.52192954	35.64977886	44.14048629	33.39637138	27.48152427	53.91179446
FLVCR1	12.37202381	91	37	30.29166667	25.18333333	20.14583333
FLVCR2	0	2	2	1	1	1
FLYWCH1	217.839104	44.8252978	38.08350876	50.36659262	29.55298702	34.54781737
FLYWCH2	43.83214286	24.35	17.5	19.65	11.95	17.19285714
FMN1	47.36901578	21.42137709	24.59140187	26.21526837	16.42781736	26.07127324
FMN2	21	1	1	0	0	1
FMNL1	28	15	10	14	12	48
FMNL2	60	117.3333333	127	78	38	55
FMNL3	78	27	23	26	16	27
FMO1	1	0	0	0	0	0
FMO2	0	0	0	0	0	0
FMO3	52.2242162	33.21257631	34.25833333	35.2094017	31.91666667	23.03555556
FMO4	22	0	3	1	1	1
FMO5	403.8913858	60.23592815	81.13783851	33.53025703	39.03936524	52.29166832
FMO6P	0.24	0.258823529	0.08	0.904040404	0.076923077	0.071428571
FMO9P	53.43275655	28.54766787	25.7061092	22.34705955	15.75429351	25.4744656
FMOD	26.61111111	8.5	12.06666667	8.625	3	9
FMR1	71.54166666	85.46666667	137	79.33333333	25.33333333	74
FMR1NB	0	0	0	0	0	0
FN1	9090.43367	219.55	432.9333333	231.0666667	182.2	258.1
FN3K	3	2	5	4	0	5
FN3KRP	354.9095238	128.3	180.9666667	125.6666667	71.33333333	96.64285714
FNBP1	183.4938099	136.727964	138.6135883	106.2837675	75.99740682	83.43925519
FNBP1L	261.1232513	582.2170573	678.6961614	447.6601459	250.7132254	351.2058926
FNBP4	351.3800366	489.7452382	400.5166666	269.7333333	186.3333333	310.05
FNDC1	32.85329762	19.24418562	14.12868205	13.06127231	11.65425685	10.46454186
FNDC3A	66	15	20.5	21	10	15.5
FNDC3B	194.4	24	26.0625	25.0625	11.4	14
FNDC4	76.35741988	34.92659498	39.4244339	38.95640359	20.2360323	16.82180042
FNDC5	11.07857143	6.6	8	10	5.5	7.55
FNDC7	0	0	0	0	0	1
FNDC8	0	0	0	0	0	0
FNIP1	85.54898774	42.71664855	42.26288322	20.6635254	11.08274599	27.61205193
FNIP2	303.5357143	91.78333333	57.16666666	45.66666667	54.08333333	71.94444444
FNTA	186.6699134	168.9742064	161.5863095	120.25	69.74978991	123.9873656
FNTB	97.86666667	46.14285714	50.1	52.2	21.16666667	29.42424242
FOLH1	6.155274725	2.019047619	1.916666667	1.95	0.75	2.345238096
FOLH1B	3.077637363	1.00952381	0.958333333	0.975	0.375	1.172619047
FOLR1	2.015873015	3	0.935064935	1	0	4.571428571
FOLR2	0	0	0	0	0	0
FOLR3	8	0	0	0	0	0
FOLR4	0	0	0	0	0	0
FOS	6	2	1	2	2	1
FOSB	6	1	0	2	0	0
FOSL1	19	1	3	0	1	2
FOSL2	36.63221064	11.77349424	12.14559035	6.954741525	3.832471583	6.887196121
FOXA1	3.125	0	0.236111111	0	0	0.1
FOXA2	0	0	0	0	0	0
FOXA3	105.8311414	34.45589028	42.40804897	29.13814074	22.5028846	31.04839834
