GeneID,GSM8253507,GSM8253508,GSM8253510,GSM8253512,GSM8253514,GSM8253515,GSM8253516,GSM8253517,GSM8253518
107986936,0,0,0,0,0,0,0,0,0
100856811,0,0,0,0,0,0,0,0,0
105379361,0,0,0,0,0.004636,0,0,0,0
100874286,0,0,0,0,0,0,0,0,0
105379362,1.945,2.333,1.28,3.617,2,3.025,2.728,2.144,2.614
84750,1.948,2.508,2.049,2.768,1.627,2.812,2.337,1.606,1.836
84549,6.766,8.947,7.485,9.421,6.899,8.637,8.527,6.062,10.76
80185,4.286,5.487,4.901,5.542,4.834,5.783,4.947,4.235,6.594
692084,0,0,0,0,0.3254,0.6085,0,0,0
79845,1.146,1.613,1.398,0.9843,1.201,1.454,1.69,1.21,1.581
78986,0,0.1554,0.01406,0,0,0,0.05511,0.01648,0
105379363,0,0,0,0,0,0,0,0,0
105379364,0,0,0,0,0,0,0,0,0
105379366,0,0,0,0,0,0,0,0,0.02223
105379365,0,0,0,0,0,0,0,0,0.01575
103689844,0,0,0,0,0,0,0,0,0
105379368,0,0,0,0,0,0,0,0,0
105379369,0,0,0,0,0,0,0,0,0
137970,0,0.002254,0,0.002332,0,0,0,0,0
101929550,0,0,0,0,0,0,0,0,0
112268026,0,0,0,0,0,0,0,0,0
105379370,0,0,0,0,0,0,0,0,0
105379371,0,0,0,0,0,0,0,0,0
157855,0,0.07925,0,0.2392,0.01689,0.1342,0.06557,0,0.01535
105379375,0,0.2821,0,0.2336,0,0.3373,0.4001,0,0
105379376,0,0,0,0,0,0,0,0,0
105379377,0.06355,0.04508,0.1076,0.07465,0.02306,0.053900000000000003,0.02558,0.1033,0.05238
100507403,0,0.01153,0,0,0,0,0,0,0
100507420,6.597,1.24,5.528,2.843,4.943,2.616,1.845,5.027,4.096
105379379,0,0,0,0,0,0,0,0,0
105379378,0,0,0,0,0,0,0,0,0
105379380,0,0,0,0,0,0,0,0,0
80139,23.15,17.8,16.45,39.46,24.39,39.49,15.81,25.71,20.43
101929622,0,0,0,0,0,0,0,0,0
102723701,0.7153,0.7612,0.7711,0.6433,0.6327,0.9556,0.4858,0.6296,0.5454
11160,10.9,11.82,12.45,13.77,11.14,14.99,9.812,11.87,11.74
728024,1.062,0.2836,0.7118,0.4953,0.7026,0.3815,0.4525,0.6767,0.6178
11212,7.114,5.854,7.471,8.572,7.365,9.67,6.575,7.458,8.944
105379381,0.3766,0,0.2319,0.07372,0.04555,0.08517,0.05051,0.136,0.1655
25960,49.07,7.313,45.25,14.12,47.73,17.07,6.593,53.81,10.93
55290,15.03,6.12,14.26,7.552,13.77,8.207,5.85,16.33,8.143
80223,0.4404,4.217,0.7857,3.1,0.4256,3.802,2.91,0.3866,1.584
137362,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0.02904,0,0
1978,78.38,82.33,93.36,61.46,77.99,50.62,74.97,95.57,85.36
9070,10.05,9.637,10.54,9.838,9.509,10.08,8.371,10.58,11.88
6770,0.09696,0.07222,0.04479,0.06406,0.1319,0.08635,0.02926,0.06565,0.07192
105379382,7.334,7.193,7.586,10.25,7.809,7.464,10.59,7.771,11.27
27257,33.23,32,32.21,41.14,33.99,35.27,41.86,31.36,45.1
9530,6.459,7.446,6.125,8.098,5.838,7.984,6.215,6.018,8.813
23259,7.391,7.505,7.276,6.963,6.246,6.967,7.802,6.67,6.678
84513,6.363,8.026,8.01,7.561,5.874,6.886,10.05,4.699,7.801
54904,6.112,5.649,6.238,6.25,4.932,6.014,5.425,5.028,5.988
137994,0.465,1.084,0.6566,1.059,0.3045,0.8349,1.25,0.2334,0.9982
102723716,0.1852,0.1576,0.2091,0.2537,0.06719,0.1256,0.3478,0.06686,0.1221
2260,26.18,15.33,37.75,24.44,18.67,21.67,13.88,19.73,18.98
389649,0,0,0.02531,0,0,0,0.0496,0,0
105379383,0,0.005898,0,0,0,0,0.03346,0,0
105379384,0,0,0,0,0,0,0,0,0
286140,0.1146,0.3415,0.1853,0.3281,0.1248,0.2916,0.3459,0.1862,0.5951
6867,8.864,12,8.927,15.88,5.028,14.43,9.722,6.35,9.144
59339,12.53,12.25,9.622,11.88,6.628,13.38,10.13,7.643,12.37
203100,0.1268,0.05889,0,0.02032,0.0251,0,0.15310000000000001,0.03747,0.09124
83877,11.24,22.19,10.84,23.12,11.03,22.02,20.65,10.6,19.85
8754,36.61,97.31,39.3,81.5,29.39,83.99,65.35,34.41,57.18
109616979,0,0,0,0,0,0,0,0,0
203102,0.4025,0.1893,0.3817,0.05598,0.2882,0.07547,0.243,0.4704,0.09428
255926,0,0,0,0,0,0,0,0,0
1587,0,0,0,0,0,0,0,0,0
100130964,0,0,0,0,0,0,0,0,0
8749,0,0.008093,0,0,0,0,0,0,0
2515,0,0,0,0,0,0,0,0,0
3620,0.01681,0,0,0.01481,0.07321,0,0,0.1639,0
169355,0,0,0,0,0,0,0,0,0
105379385,0,0,0,0,0,0,0,0,0
105379386,0.14,0,0,0,0,0,0,0,0
56892,2.754,0,1.586,0,0.9991,0,0,2.209,0
112543493,0.09378,0.03991,0.3899,0,0.15310000000000001,0,0.1132,0.6095,0.09275
105379388,0,0,0,0,0,0,0,0,0
79698,0.01669,0.01624,0.1741,0.004202,0.01817,0.002427,0.002879,0.06717,0
107986938,0,0,0.03989,0,0,0,0,0,0
105379389,0,0,0,0,0,0,0,0,0
105379390,0,0,0,0,0,0,0,0,0
105379771,0.1292,0.264,0.02388,2.368,0.2532,1.683,0.1248,0.3359,0.1278
6422,1.226,85.93,16.88,320.3,15.1,309.2,48.41,16.22,32.46
100847068,0,0,0,0.2853,0,0.9888,0,0,0
109616980,0,0,0,0,0,0,0,0,0
105379391,0,0,0,0,0,0,0,0,0
51125,27.22,23.68,22.15,23.45,30.71,23.35,27.19,27.37,26.05
84296,3.665,3.285,3.16,6.134,1.742,5.318,2.757,2.315,6.325
102723729,2.356,1.165,2.037,2.812,0.8274,2.244,2.111,1.482,2.33
137964,12.93,13.93,10.23,16.21,11.76,15.74,13.56,11.41,16.22
157848,0,0,0,0,0,0,0,0,0
286,0.6956,0.7637,0.7388,0.1088,0.9447,0.354,1.091,0.2359,0.9162
619554,0.4572,0,0,0,0,0,0,0,0
102465696,0.4857,0,0,0,0,0,0,0,0
105379392,0.07298,0.07099,0.07705,0,0.09079,0.01061,0.05035,0.04517,0
7994,5.446,4.815,5.379,4.787,4.646,5.096,3.553,5.288,6.643
105379393,0.3216,0.365,0.2724,0.2361,0.2917,0.3001,0.1618,0.2032,0.3446
107986939,0,0,0.01083,0.07226,0.01276,0.01193,0,0.01269,0
10947,3.858,4.273,4.116,4.588,3.4,3.212,4.446,4.038,4.425
5327,8.914,47.16,9.727,12.3,7.626,13.09,35.55,8.018,32.96
101929897,0.04783,0,0,0,0.1041,0,0.1155,0,0.0473
3551,6.746,6.145,6.613,7.244,8.156,7.058,8.641,6.335,8.545
105379395,0.1028,0.3102,0.2417,0.1646,0.1322,0.1997,0.2707,0.1518,0.1848
5423,5.087,8.969,4.868,9.973,6.435,8.125,12.65,4.422,14.64
27121,0,0,0,0,0,0,0.0288,0,0
7419,42.73,52.26,41.09,61.11,39.87,51.72,62.93,35.5,67.01
6575,6.836,23.1,5.506,12.33,7.536,12.7,17.25,8.285,11.39
114926,5.122,3.679,4.008,3.074,4.626,2.886,4.292,3.649,3.116
105379396,0,0,0,0,0,0,0,0,0
1142,0,0,0,0,0,0,0,0,0
8973,0,0,0,0,0,0,0,0,0
55145,5.423,5.068,4.851,6.47,5.731,5.154,5.283,5.548,6.314
81790,4.921,3.999,5.153,4.808,4.889,4.627,3.915,4.942,4.292
100616115,2.361,2.68,2.909,2.773,5.14,2.804,1.425,2.558,3.503
84376,6.946,6.465,6.848,5.904,5.536,5.674,5.47,5.962,7.252
2339,25.49,22.37,25.62,26.64,24.45,21.76,26.06,23,25.27
84197,2.551,3.073,2.341,2.32,2.452,2.529,2.12,1.92,3.08
138050,17.83,17.28,18.88,20.03,17.01,23.08,15.54,17,17.39
340441,0,0,0,0,0,0,0,0,0
105379397,0.01648,0,0,0,0.03589,0,0,0.03571,0
389652,0.06388,0.03625,1.318,0,1.622,0,0.02571,1.292,0
105375811,0,0,0,0,0,0,0,0,0
105375812,0,0,0,0,0,0,0,0,0
497634,0,0,0,0,0,0,0,0,0
105375813,0,0,0,0,0,0,0,0,0
105375814,0,0,0,0,0,0,0,0,0
105375815,0,0,0,0,0,0,0,0,0
105375816,0,0,0,0,0,0,0,0,0
105375817,0,0,0,0,0,0,0,0,0
107986885,0,0,0,0,0,0,0,0,0
100287846,0.1886,0.006689,0.1597,0,0.3678,0,0,0.5278,0
100996586,0,0,0,0,0,0,0,0,0
23514,7.355,2.549,5.797,4.169,7.143,3.632,2.691,6.98,3.868
107986940,0,0,0,0,0.01864,0,0,0,0
1052,40.82,5.031,24.5,9.121,70.9,9.781,4.946,56.65,4.764
5591,10.87,12.05,13.13,13.25,7.965,15.7,7.223,10.76,13.53
105375818,0,0,0,0,0,0,0,0,0
4173,19.17,13.8,16.73,18.77,7.533,11.02,6.737,12.95,13.37
105375819,0,0,0,0,0.02123,0,0,0,0
7336,15.1,15.15,13.19,15.63,14.27,12.74,16.97,14.18,18.42
107986941,0,0,0,0,0.2334,0,0,0,0
105375820,0,0,0,0,0,0,0,0,0
105375821,0.8819,0.5927,1.297,0.5009,0.6821,0.437,0.4063,0.6034,0.4247
105375822,0,0,0.01548,0,0,0,0.01011,0.009072,0
112268027,0.1076,0.05725,0.07457,0.01778,0.02929,0.06846,0.04872,0.1239,0.06652
101929268,0.1835,0.07809,0.04844,0.03464,0.0428,0.02668,0.04747,0.1278,0.07778
105375823,0.167,0,0.09255,0.02942,0.1817,0,0.04031,0.1085,0.06605
101929217,0.3543,0,0.1637,0,0.7713,0,0,0.1919,0
79645,0.08538,0.02678,0.09964,0.01188,0.009783,0.01372,0.005425,0.0146,0.01778
105375825,0.2394,0.0247,0.1039,0.05432,0.1382,0.02215,0.01314,0.2633,0.02511
6591,67.65,32.03,69.75,51.17,49.05,42.59,28.13,54.65,36.14
107986942,0.1579,0.06722,0.1216,0.1314,0.06686,0.08038,0.1801,0.07604,0.04339
492307,0,0,0,0,0,0,0,0,0
105375826,0,0,0,0,0,0,0,0,0
100507464,0,0,0,0,0,0,0,0,0
54212,0,0,0,0,0,0,0,0,0
105375829,0,0,0,0,0,0,0,0,0
105375828,0,0,0,0,0,0,0,0,0
