"GeneID","BJ.Fibroblast.","BJ.OKS.iM.2","BJ.OKS.iM.21","BJ.OKS.iG.2","BJ.OKS.iG.5","HUES9"
"RGPD8",-0.0948772895472095,-0.0654684724309151,-0.0669017872751057,-0.0710555833286686,-0.0682476266797677,-0.0686377533103472
"RGR",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RGS1",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RGS10",-0.0563736478450284,-0.0298241067595067,-0.0420669695472684,-0.0565985403653827,-0.0503025764828821,-0.0550759765874369
"RGS11",-0.0951172160975896,-0.0679415697310616,-0.0705814326656153,-0.0749743115507797,-0.070761334158191,-0.0725621042993946
"RGS12",-0.0779810141300994,-0.055957670386288,-0.0584229390273344,-0.0636425859864515,-0.0494501282464109,-0.0558799364802296
"RGS13",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RGS14",-0.0946867320058945,-0.0601448159414253,-0.0641975976391197,-0.067011477370441,-0.0596795070840653,-0.0598997359562528
"RGS16",-0.0715170131818297,-0.0591720021714216,-0.0568491985062984,-0.065403503301645,-0.0603011813011625,-0.0614866976771424
"RGS17",-0.0981306047394555,-0.0666421107661222,-0.0654743646444188,-0.0700741059013405,-0.0699088859217198,-0.0671353750094767
"RGS18",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RGS19",-0.0903818910889433,-0.0640431928362435,-0.0667511316497179,-0.0700741059013405,-0.0682039894487774,-0.0683413148516806
"RGS2",-0.0765578389059837,-0.0596436799077982,-0.0516833938957633,-0.062126080467113,-0.0566620397827956,-0.0604104245085816
"RGS20",-0.0988193792861677,-0.0682115871781586,-0.0698153724624358,-0.073953435373609,-0.0710596910409559,-0.0719074512420259
"RGS21",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RGS22",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RGS3",-0.073636349573224,-0.0598910869711877,-0.0653203684134883,-0.0641848333964762,-0.0607430708606397,-0.0588712530862332
"RGS4",-0.0652284007509731,-0.0653935607076512,-0.0695672507999242,-0.0701808260664703,-0.0654670717463459,-0.0696922552043568
"RGS5",-0.0826912586275924,-0.0421689669264307,-0.0123568039994408,-0.02096996178721,0.00103375064493391,-0.00925026258368562
"RGS6",0.0496909604048583,-0.00522161126590591,0.00372048075850233,0.0130577312800308,0.0497966423015715,0.0202197044850437
"RGS7",-0.0994220570145409,-0.0675084167427484,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0719591343782926
"RGS7BP",-0.0989915729228458,-0.0679415697310616,-0.071432610669148,-0.0749743115507797,-0.0690564376852486,-0.0725621042993946
"RGS8",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RGS9",-0.0968391524643702,-0.0670752637544353,-0.0650487756426524,-0.0725242087260601,-0.0647941965028926,-0.0700405937201312
"RGS9BP",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RGSL1",-0.0732224428685756,-0.0547065865231769,-0.0595897782533012,-0.0620940626642805,-0.0569963247758097,-0.0553554266091614
"RHAG",-0.0938726147320945,-0.0652079074545099,-0.0690390081928531,-0.0707352917803417,-0.0671416283658464,-0.0684877249792047
"RHBDD1",-0.0817722092550408,-0.0640431928362435,-0.063346419635587,-0.067011477370441,-0.066499092975835,-0.0598997359562528
"RHBDD2",-0.0925343115474189,-0.0649094988128697,-0.0697302546620825,-0.0719116830198802,-0.0682039894487774,-0.0683413148516806
"RHBDD3",-0.0890904388138579,-0.0584122039881729,-0.0603672966232224,-0.0584361174839224,-0.0639417482664214,-0.0677383449305787
"RHBDF1",0.0465831540745966,-0.0434101953115771,-0.0374935687101367,-0.0311975840829461,-0.0336522885039876,-0.0312436719955031
"RHBDF2",-0.0714405910543578,-0.044984461350466,-0.0535578725949604,-0.0584361174839224,-0.0571221623746517,-0.0574878562718448
"RHBDL1",-0.0946867320058945,-0.062310580882991,-0.068027898655017,-0.0645613745457214,-0.0673515412123062,-0.0647234953250687
"RHBDL2",-0.0940983183334609,-0.0669756129080066,-0.0682825181763605,-0.0717774909249218,-0.0683874230170406,-0.0706076174199521
"RHBDL3",-0.0898335636043765,-0.0624658321531556,-0.0683036493903948,-0.0728000582604537,-0.0643313375769184,-0.0653400581900525
"RHBG",-0.0992553298426491,-0.0675084167427484,-0.0710070216673816,-0.0737492601384199,-0.0714243494534136,-0.0725621042993946
"RHCE",-0.0986471856494897,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RHCG",-0.0982352906439245,-0.0681581462252181,-0.071354586018966,-0.0741847387873628,-0.0709679882757618,-0.072475965739151
"RHD",-0.0987730194607758,-0.0683747227193747,-0.0712820176376883,-0.074471726355667,-0.071482636511997,-0.0725621042993946
"RHEB",0.00735849699086086,0.0166315512370759,0.0155010361058489,0.00771665878350689,-0.00921457148497003,0.016074474102598
"RHEBL1",-0.0921038274557238,-0.0549469800816679,-0.0586649406161569,-0.0553734889530229,-0.0571221623746517,-0.0611056757984568
"RHO",-0.0994220570145409,-0.0683747227193747,-0.071432610669148,-0.0749743115507797,-0.0716137823946622,-0.0725621042993946
"RHOA",0.0172391318348379,-0.0306904127361329,-0.0416413805455021,-0.0406728720047052,-0.0298438188075732,-0.047840337534213
"RHOB",0.0224766882981447,-0.0625993495433102,-0.059870776119743,-0.067459933692787,-0.064367972384657,-0.0635175554828647
"RHOBTB1",0.0575416674889089,-0.00686699837891111,-0.0176594402959671,-0.0022573014450383,-0.0248996190360402,-0.0389465311979586
"RHOBTB2",-0.0516383228363821,-0.0501822972102235,-0.0531322835931941,-0.054760963246843,-0.0528599211922957,-0.044222518007601
"RHOBTB3",0.0346827828802251,-0.0500297605834726,-0.0564598640611959,-0.0571709394635487,-0.0486709680110203,-0.0528918463180362
"RHOC",0.00174170453381341,-0.0528895033871805,-0.0614844677528591,-0.0682365287828008,-0.0545648176652381,-0.0605027058773548
"RHOD",0.0664578129709643,-0.0120648342386686,-0.0131269174271552,-0.0265847807625675,-0.0187619917334475,-0.0207066910846234
"RHOF",-0.0934381541512233,-0.0585715796717877,-0.0631364760958441,-0.0673275155457769,-0.0574960061998702,-0.0633676872727966
"RHOG",0.241951827699693,0.0234537108030076,0.0170899016982571,0.013229390139126,0.0247128683265839,0.0444140603943915
